Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
5 Sec,,,,12-09-2024 15:28:49,12-09-2024 15:48:26,19m - 37.151s,FAILED
,,,,,,,
Test Cases/Ledger Report/View Ledger Commodity 2024-25,,,,12-09-2024 15:28:49,12-09-2024 15:29:38,49.241s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:28:49,12-09-2024 15:29:22,32.733s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:29:22,12-09-2024 15:29:23,1.824s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:29:23,12-09-2024 15:29:25,1.729s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:29:25,12-09-2024 15:29:25,0.112s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Commodity Report""), 0)",,,,12-09-2024 15:29:25,12-09-2024 15:29:27,1.668s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/View Ledger""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:29:27,12-09-2024 15:29:28,0.616s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Wait-Element Identify""), 0)",,,,12-09-2024 15:29:28,12-09-2024 15:29:31,3.755s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-7days""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:29:31,12-09-2024 15:29:32,0.594s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Wait-Element Identify""), 0)",,,,12-09-2024 15:29:32,12-09-2024 15:29:38,5.971s,FAILED
,,,,,,,
Test Cases/Ledger Report/View Ledger Currency 2024-25,,,,12-09-2024 15:29:38,12-09-2024 15:30:23,45.153s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:29:38,12-09-2024 15:30:07,28.629s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:30:07,12-09-2024 15:30:08,1.027s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:30:08,12-09-2024 15:30:10,2.088s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:30:10,12-09-2024 15:30:10,0.126s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Currency Report""), 0)",,,,12-09-2024 15:30:10,12-09-2024 15:30:11,1.649s,PASSED
