Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"tap(findTestObject(""Object Repository/LoginRepo/View Ledger""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:30:11,12-09-2024 15:30:12,0.622s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Wait-Element Identify""), 0)",,,,12-09-2024 15:30:12,12-09-2024 15:30:17,4.529s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-7days""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:30:17,12-09-2024 15:30:17,0.603s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Wait-Element Identify""), 0)",,,,12-09-2024 15:30:17,12-09-2024 15:30:23,5.810s,FAILED
,,,,,,,
Test Cases/Ledger Report/View Ledger Equity 2024-2025,,,,12-09-2024 15:30:23,12-09-2024 15:31:13,49.816s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:30:23,12-09-2024 15:30:50,26.850s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:30:50,12-09-2024 15:30:52,1.678s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:30:52,12-09-2024 15:30:53,1.238s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:30:53,12-09-2024 15:30:53,0.126s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Equity Report""), 0)",,,,12-09-2024 15:30:53,12-09-2024 15:30:55,1.662s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/View Ledger""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:30:55,12-09-2024 15:30:55,0.622s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Wait-Element Identify""), 0)",,,,12-09-2024 15:30:55,12-09-2024 15:31:01,5.636s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-7days""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:31:01,12-09-2024 15:31:02,0.594s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Wait-Element Identify""), 0)",,,,12-09-2024 15:31:02,12-09-2024 15:31:06,4.882s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-15days""), 0)",,,,12-09-2024 15:31:06,12-09-2024 15:31:07,0.602s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Wait-Element Identify""), 0)",,,,12-09-2024 15:31:07,12-09-2024 15:31:13,5.861s,FAILED
,,,,,,,
Test Cases/Ledger Report/View Ledger Future 2024-25,,,,12-09-2024 15:31:13,12-09-2024 15:31:48,35.632s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:31:13,12-09-2024 15:31:37,24.520s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:31:37,12-09-2024 15:31:39,1.522s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:31:39,12-09-2024 15:31:40,1.238s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:31:40,12-09-2024 15:31:40,0.126s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Future Report""), 0)",,,,12-09-2024 15:31:40,12-09-2024 15:31:42,1.672s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/View Ledger""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:31:42,12-09-2024 15:31:43,0.633s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Wait-Element Identify""), 0)",,,,12-09-2024 15:31:43,12-09-2024 15:31:48,5.861s,FAILED
,,,,,,,
Test Cases/Ledger Report/View Ledger Report 2024-25,,,,12-09-2024 15:31:48,12-09-2024 15:32:23,34.995s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:31:49,12-09-2024 15:32:14,25.173s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:32:14,12-09-2024 15:32:15,1.542s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:32:15,12-09-2024 15:32:17,1.870s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/View Ledger""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:32:17,12-09-2024 15:32:18,0.627s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Wait-Element Identify""), 0)",,,,12-09-2024 15:32:18,12-09-2024 15:32:23,5.728s,FAILED
,,,,,,,
Test Cases/Trade log/View Trade 2024-25,,,,12-09-2024 15:32:23,12-09-2024 15:32:57,33.898s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:32:24,12-09-2024 15:32:48,24.441s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:32:48,12-09-2024 15:32:50,1.541s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Trade log Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:32:50,12-09-2024 15:32:51,1.340s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Mail-Send""), 0)",,,,12-09-2024 15:32:51,12-09-2024 15:32:52,0.646s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-ToastMsg""), 0)",,,,12-09-2024 15:32:52,12-09-2024 15:32:57,5.860s,FAILED
,,,,,,,
Test Cases/Ledger Report/Mail Ledger Report 2023-24,,,,12-09-2024 15:32:57,12-09-2024 15:33:29,31.640s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:32:57,12-09-2024 15:33:22,24.301s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:33:22,12-09-2024 15:33:24,2.025s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:33:24,12-09-2024 15:33:25,1.220s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-2024-2025""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:33:25,12-09-2024 15:33:25,0.155s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-2023-2024""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:33:25,12-09-2024 15:33:27,1.688s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Mail-Send""), 0)",,,,12-09-2024 15:33:27,12-09-2024 15:33:27,0.634s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-ToastMsg""), 1000)",,,,12-09-2024 15:33:27,12-09-2024 15:33:29,1.575s,PASSED
,,,,,,,
Test Cases/Ledger Report/Share Ledger Report 2023-24,,,,12-09-2024 15:33:29,12-09-2024 15:33:58,29.342s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:33:29,12-09-2024 15:33:53,23.475s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:33:53,12-09-2024 15:33:58,5.828s,FAILED
,,,,,,,
Test Cases/Ledger Report/Mail Ledger Report 2024-25,,,,12-09-2024 15:33:58,12-09-2024 15:34:32,34.055s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:33:58,12-09-2024 15:34:24,26.041s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:34:24,12-09-2024 15:34:26,2.023s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:34:26,12-09-2024 15:34:28,1.742s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Mail-Send""), 0)",,,,12-09-2024 15:34:28,12-09-2024 15:34:29,0.652s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-ToastMsg""), 0)",,,,12-09-2024 15:34:29,12-09-2024 15:34:32,3.552s,PASSED
,,,,,,,
Test Cases/Ledger Report/Share Ledger Report 2024-25,,,,12-09-2024 15:34:32,12-09-2024 15:35:08,35.435s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:34:32,12-09-2024 15:34:59,26.875s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:34:59,12-09-2024 15:35:02,2.413s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:35:02,12-09-2024 15:35:03,1.272s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share""), 0)",,,,12-09-2024 15:35:03,12-09-2024 15:35:04,0.674s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share-Verify""), 0)",,,,12-09-2024 15:35:04,12-09-2024 15:35:07,3.195s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share-Back""), 0)",,,,12-09-2024 15:35:07,12-09-2024 15:35:08,0.971s,PASSED
,,,,,,,
Test Cases/Ledger Report/Mail Ledger Equity 24,,,,12-09-2024 15:35:08,12-09-2024 15:35:43,34.695s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:35:08,12-09-2024 15:35:34,26.481s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:35:34,12-09-2024 15:35:36,1.999s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:35:36,12-09-2024 15:35:38,1.588s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:35:38,12-09-2024 15:35:38,0.137s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Equity Report""), 0)",,,,12-09-2024 15:35:38,12-09-2024 15:35:40,1.685s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Mail-Send""), 0)",,,,12-09-2024 15:35:40,12-09-2024 15:35:40,0.658s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-ToastMsg""), 0)",,,,12-09-2024 15:35:40,12-09-2024 15:35:43,2.107s,PASSED
,,,,,,,
Test Cases/Ledger Report/Share Ledger Equity 24,,,,12-09-2024 15:35:43,12-09-2024 15:36:19,36.201s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:35:43,12-09-2024 15:36:09,26.706s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:36:09,12-09-2024 15:36:11,1.547s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:36:11,12-09-2024 15:36:12,1.389s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:36:12,12-09-2024 15:36:12,0.195s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Equity Report""), 0)",,,,12-09-2024 15:36:12,12-09-2024 15:36:14,1.682s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share""), 0)",,,,12-09-2024 15:36:14,12-09-2024 15:36:15,0.653s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share-Verify""), 0)",,,,12-09-2024 15:36:15,12-09-2024 15:36:18,2.997s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share-Back""), 0)",,,,12-09-2024 15:36:18,12-09-2024 15:36:19,0.995s,PASSED
,,,,,,,
Test Cases/Ledger Report/View Ledger Equity 2024-2025,,,,12-09-2024 15:36:19,12-09-2024 15:36:55,36.259s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:36:19,12-09-2024 15:36:44,24.927s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:36:44,12-09-2024 15:36:45,1.617s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:36:45,12-09-2024 15:36:47,1.382s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:36:47,12-09-2024 15:36:48,0.924s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Equity Report""), 0)",,,,12-09-2024 15:36:48,12-09-2024 15:36:49,0.969s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/View Ledger""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:36:49,12-09-2024 15:36:49,0.659s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Wait-Element Identify""), 0)",,,,12-09-2024 15:36:49,12-09-2024 15:36:55,5.768s,FAILED
,,,,,,,
Test Cases/Ledger Report/Mail Ledger Future 2023,,,,12-09-2024 15:36:55,12-09-2024 15:37:33,37.622s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:36:55,12-09-2024 15:37:23,27.574s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:37:23,12-09-2024 15:37:24,1.547s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:37:24,12-09-2024 15:37:26,1.502s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:37:26,12-09-2024 15:37:26,0.164s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Future Report""), 0)",,,,12-09-2024 15:37:26,12-09-2024 15:37:28,1.824s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-2024-2025""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:37:28,12-09-2024 15:37:28,0.155s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-2023-2024""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:37:28,12-09-2024 15:37:30,1.715s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Mail-Send""), 0)",,,,12-09-2024 15:37:30,12-09-2024 15:37:30,0.674s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-ToastMsg""), 0)",,,,12-09-2024 15:37:30,12-09-2024 15:37:33,2.426s,PASSED
,,,,,,,
Test Cases/Ledger Report/Mail Ledger Future 2024,,,,12-09-2024 15:37:33,12-09-2024 15:38:06,33.718s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:37:33,12-09-2024 15:37:59,25.955s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:37:59,12-09-2024 15:38:01,2.221s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:38:01,12-09-2024 15:38:02,0.658s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:38:02,12-09-2024 15:38:02,0.174s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Future Report""), 0)",,,,12-09-2024 15:38:02,12-09-2024 15:38:03,1.704s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Mail-Send""), 0)",,,,12-09-2024 15:38:03,12-09-2024 15:38:04,0.178s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-ToastMsg""), 0)",,,,12-09-2024 15:38:04,12-09-2024 15:38:06,2.789s,PASSED
,,,,,,,
Test Cases/Ledger Report/Share Ledger Future 2023,,,,12-09-2024 15:38:06,12-09-2024 15:38:42,35.536s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:38:06,12-09-2024 15:38:32,25.800s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:38:32,12-09-2024 15:38:34,1.647s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:38:34,12-09-2024 15:38:35,1.515s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:38:35,12-09-2024 15:38:36,0.200s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Future Report""), 0)",,,,12-09-2024 15:38:36,12-09-2024 15:38:37,1.672s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share""), 0)",,,,12-09-2024 15:38:37,12-09-2024 15:38:38,0.711s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share-Verify""), 0)",,,,12-09-2024 15:38:38,12-09-2024 15:38:41,2.901s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share-Back""), 0)",,,,12-09-2024 15:38:41,12-09-2024 15:38:42,1.055s,PASSED
,,,,,,,
Test Cases/Ledger Report/Share Ledger Future 2024,,,,12-09-2024 15:38:42,12-09-2024 15:39:22,39.904s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:38:42,12-09-2024 15:39:10,28.172s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:39:10,12-09-2024 15:39:12,1.622s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:39:12,12-09-2024 15:39:13,1.677s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:39:13,12-09-2024 15:39:14,0.217s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Future Report""), 0)",,,,12-09-2024 15:39:14,12-09-2024 15:39:15,1.702s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-2024-2025""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:39:15,12-09-2024 15:39:16,0.198s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-2023-2024""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:39:16,12-09-2024 15:39:17,1.735s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share""), 0)",,,,12-09-2024 15:39:17,12-09-2024 15:39:18,0.702s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share-Verify""), 0)",,,,12-09-2024 15:39:18,12-09-2024 15:39:21,2.656s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share-Back""), 0)",,,,12-09-2024 15:39:21,12-09-2024 15:39:22,1.183s,PASSED
,,,,,,,
Test Cases/Ledger Report/View Ledger Future 2024-25,,,,12-09-2024 15:39:22,12-09-2024 15:40:12,49.806s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:39:22,12-09-2024 15:39:50,28.003s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:39:50,12-09-2024 15:39:52,2.277s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:39:52,12-09-2024 15:39:53,1.347s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:39:53,12-09-2024 15:39:54,0.220s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Future Report""), 0)",,,,12-09-2024 15:39:54,12-09-2024 15:39:55,1.718s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/View Ledger""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:39:55,12-09-2024 15:39:56,0.690s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Wait-Element Identify""), 0)",,,,12-09-2024 15:39:56,12-09-2024 15:40:01,4.874s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-7days""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:40:01,12-09-2024 15:40:02,0.668s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Wait-Element Identify""), 0)",,,,12-09-2024 15:40:02,12-09-2024 15:40:05,3.566s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-15days""), 0)",,,,12-09-2024 15:40:05,12-09-2024 15:40:06,0.657s,PASSED
"getText(findTestObject(""Object Repository/LoginRepo/Wait-Element Identify""), 0)",,,,12-09-2024 15:40:06,12-09-2024 15:40:12,5.775s,FAILED
,,,,,,,
Test Cases/Ledger Report/Mail Ledger Currency 2024,,,,12-09-2024 15:40:12,12-09-2024 15:40:48,36.562s,PASSED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:40:12,12-09-2024 15:40:40,27.962s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:40:40,12-09-2024 15:40:41,1.697s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:40:41,12-09-2024 15:40:44,2.808s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:40:44,12-09-2024 15:40:44,0.174s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Currency Report""), 0)",,,,12-09-2024 15:40:44,12-09-2024 15:40:46,1.705s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Mail-Send""), 0)",,,,12-09-2024 15:40:46,12-09-2024 15:40:47,0.703s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-ToastMsg""), 0)",,,,12-09-2024 15:40:47,12-09-2024 15:40:48,1.470s,PASSED
,,,,,,,
Test Cases/Ledger Report/Share Ledger Currency 2024,,,,12-09-2024 15:40:48,12-09-2024 15:41:28,39.419s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:40:48,12-09-2024 15:41:16,27.783s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:41:16,12-09-2024 15:41:18,1.689s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:41:18,12-09-2024 15:41:19,1.465s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:41:19,12-09-2024 15:41:19,0.196s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Currency Report""), 0)",,,,12-09-2024 15:41:19,12-09-2024 15:41:21,1.696s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share""), 0)",,,,12-09-2024 15:41:21,12-09-2024 15:41:22,0.704s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger-Share-Verify""), 0)",,,,12-09-2024 15:41:22,12-09-2024 15:41:28,5.848s,FAILED
,,,,,,,
Test Cases/Ledger Report/View Ledger Currency 2024-25,,,,12-09-2024 15:41:28,12-09-2024 15:42:08,40.695s,FAILED
"callTestCase(findTestCase(""Test Cases/Login/Login""), null, STOP_ON_FAILURE)",,,,12-09-2024 15:41:28,12-09-2024 15:41:57,28.885s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Report Click""), 0)",,,,12-09-2024 15:41:57,12-09-2024 15:41:58,1.636s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Ledger Click""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:41:58,12-09-2024 15:42:00,1.475s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Segment Click""), 0)",,,,12-09-2024 15:42:00,12-09-2024 15:42:00,0.193s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/Currency Report""), 0)",,,,12-09-2024 15:42:00,12-09-2024 15:42:02,1.881s,PASSED
"tap(findTestObject(""Object Repository/LoginRepo/View Ledger""), 0, CONTINUE_ON_FAILURE)",,,,12-09-2024 15:42:02,12-09-2024 15:42:02,0.704s,PASSED
